user_name,movie,rating
ghughf0,65,2
asinclair1,86,5
bleuchars2,24,3
tpaddemore3,41,5
kcongreve4,71,1
ashawe5,64,6
lyesinin6,28,2
ssellek7,24,4
vhatch8,53,5
cschurcke9,71,6
nhabishawa,15,5
kpeggb,36,5
pkingsleyc,15,5
obarracksd,54,6
dbohmane,70,5
dkibardf,21,6
dfergusong,59,5
hspongh,10,6
cbrimblecombi,90,5
wwatsamj,79,4
galcornk,10,5
svereganl,30,2
hmeachemm,7,6
dbredeen,70,5
cgeeo,33,2
hlandegp,29,6
oellifq,17,5
dgouldier,15,5
ehaddrills,30,5
mbitchenert,27,6
jveazeyu,41,2
skaubischv,52,4
pattlew,5,4
nstrothersx,17,6
sfaithfully,30,3
shuggonsz,72,1
ndoogan10,72,5
cclaisse11,85,5
zdemetz12,87,6
gwolstencroft13,48,4
jheintsch14,39,4
hwelldrake15,17,2
tcoggin16,33,4
kaireton17,64,5
efrude18,36,3
adrury19,95,1
iiannitti1a,15,1
sratledge1b,39,5
wogarmen1c,88,2
sguarin1d,42,5
kantill1e,15,5
lgumbrell1f,24,4
mbaumber1g,61,6
tputten1h,97,3
oochterlonie1i,61,3
mmccurrie1j,3,2
hcicchillo1k,82,1
ubroadbere1l,64,3
roloughnan1m,44,1
shenrique1n,94,3
ccroose1o,90,5
zvertey1p,10,6
ghuff1q,66,6
fjeeves1r,25,1
bcurtois1s,31,6
kbalkwill1t,63,4
lgreeves1u,2,5
gbiagi1v,4,1
vbeathem1w,36,6
fblind1x,39,6
rgannicleff1y,3,4
vmiquelet1z,87,2
mbeazley20,51,4
bcominoli21,93,3
bgasker22,36,5
rgummoe23,87,5
afidock24,5,1
bbelford25,3,5
vofielly26,49,2
jkinch27,86,1
tjohnigan28,38,3
acopson29,61,3
seccles2a,49,1
erevett2b,59,3
ckingscott2c,61,2
sgowdy2d,72,1
tcroneen2e,28,2
loluby2f,3,6
wkinforth2g,7,4
hocannovane2h,50,6
jplank2i,47,6
rleschelle2j,60,4
kmcgarrie2k,58,6
edrinkale2l,20,3
gcoutthart2m,68,1
ebrydie2n,17,6
rpember2o,55,4
cchatel2p,53,2
jwenden2q,27,6
bcranton2r,53,6
aspalton2s,14,4
nastman2t,53,3
hdaines2u,88,4
ksoal2v,40,5
bgourley2w,61,5
xbubbins2x,1,4
lporter2y,13,1
phunnaball2z,64,3
smariotte30,63,6
cpanons31,69,1
psygroves32,20,1
lbessom33,92,3
mbernardon34,31,1
ddomini35,15,6
tmowsley36,84,5
abrilon37,36,6
tvanderhoeven38,58,3
mbotler39,74,2
wbulward3a,40,5
gmcshea3b,54,1
wabrahams3c,72,2
mveare3d,51,3
ajakubovitch3e,75,6
ebaynton3f,64,5
cogara3g,73,5
aloadsman3h,92,5
wvido3i,6,6
mspohrmann3j,52,1
aennals3k,83,4
ccreevy3l,67,1
acarme3m,39,2
acundey3n,18,2
egeorgelin3o,12,3
yblaw3p,45,2
bhaggerston3q,38,5
ldymidowski3r,77,6
aannwyl3s,22,5
kalejo3t,51,2
kbenardeau3u,55,3
vdornin3v,99,5
anovkovic3w,8,5
bstobbie3x,44,5
gkinzel3y,37,3
npeacey3z,24,4
adavid40,11,6
sdesavery41,69,5
eloftie42,80,3
tprobyn43,57,1
acanter44,60,2
xmontacute45,81,2
pbastock46,3,3
jdubock47,6,3
lgeraldez48,58,2
hpaudin49,99,6
zmeighan4a,22,1
fjessep4b,37,6
vsalvadori4c,44,4
dlemarquis4d,100,4
sfarlow4e,53,4
mmacallam4f,48,2
eledgeway4g,27,4
cmarians4h,74,1
bewens4i,55,5
vjosephi4j,39,6
balford4k,8,4
spawel4l,81,2
ckinnach4m,52,3
kbaversor4n,73,4
scleaveland4o,21,6
langlish4p,70,6
tmaciaszczyk4q,48,6
dbindin4r,23,3
lstooders4s,67,6
randover4t,40,3
mlekeux4u,55,3
btoretta4v,30,2
sreisenstein4w,79,5
kjunkin4x,25,2
klapish4y,53,1
zricharz4z,2,1
cadel50,44,1
cdomke51,75,1
cmenendez52,60,3
gkorfmann53,27,4
rmarcos54,83,6
bgowman55,43,4
chanster56,53,4
cstileman57,96,6
trackley58,80,3
zlorriman59,31,6
dsafont5a,34,3
acrennan5b,89,1
hqueripel5c,50,6
bchivers5d,14,4
flyndon5e,69,3
jczaja5f,6,3
ocolyer5g,31,1
ibrydell5h,70,4
erebbeck5i,71,1
rweatherhill5j,43,2
cbasson5k,24,5
jeskrigg5l,82,1
mkruszelnicki5m,10,5
calfonzo5n,20,2
loneary5o,29,2
lbrozek5p,26,5
ipepall5q,74,1
dscheu5r,9,4
wdowers5s,69,6
ecromack5t,53,5
cosharry5u,34,6
ctop5v,66,2
dboulds5w,49,3
tferrieres5x,17,3
jcastagnaro5y,98,2
cpaulitschke5z,59,3
otrevallion60,2,2
gvairow61,85,1
rkilgrove62,65,4
vhryncewicz63,9,2
nlambricht64,100,6
mwrate65,90,4
fphysic66,30,3
sklementz67,40,3
mhoulden68,45,1
hcromie69,70,2
qloughlin6a,58,2
ghowitt6b,75,5
lstannett6c,40,3
eleser6d,3,5
mworld6e,2,3
dcotilard6f,60,3
bbattie6g,46,1
npepperrall6h,33,1
tbeauman6i,39,3
achampkin6j,100,4
cdinehart6k,72,5
gwhitehorn6l,63,1
cbradford6m,40,4
rbradley6n,11,5
spurshouse6o,20,4
jtoppes6p,96,2
gdobrowlski6q,46,6
lmcshirie6r,52,4
jgerretsen6s,36,4
dwudeland6t,77,1
tnicklin6u,34,2
tpyrah6v,9,4
hbarens6w,74,4
hscheffel6x,13,5
bsisneros6y,84,4
wklaas6z,42,6
clongstreeth70,97,1
ofosse71,40,5
ezylbermann72,48,4
kdows73,82,2
vwetheril74,27,3
bbasford75,43,5
qtrahearn76,36,1
mwilkie77,5,2
emeininking78,3,4
mpound79,9,4
cdive7a,46,3
rseckom7b,99,3
wskeermor7c,61,4
mbirkenhead7d,47,4
rturney7e,31,1
etersay7f,51,3
ldurno7g,7,4
wstamp7h,35,6
cdaymont7i,76,5
npiperley7j,14,4
jpetraitis7k,25,4
cdeex7l,3,6
dscaife7m,85,4
jmildenhall7n,30,5
hsnashall7o,43,5
shoofe7p,6,6
bmateuszczyk7q,48,5
speterson7r,91,5
fbrimblecombe7s,33,3
lgoodall7t,7,2
mjamson7u,34,5
dmardoll7v,55,3
dvanbaaren7w,60,4
mescalante7x,89,2
pvolet7y,23,2
amathes7z,26,5
rgorrissen80,71,2
ppierrepoint81,54,1
swarne82,2,2
cdufore83,95,2
bnelane84,52,6
ipien85,22,6
mrobison86,26,4
fknollesgreen87,46,4
bfiltness88,57,3
atrivett89,11,3
lcowburn8a,62,6
bbenedite8b,64,2
mgammage8c,80,1
ajeans8d,65,3
rsloyan8e,91,5
sturnpenny8f,86,5
cstubbin8g,27,3
mmagowan8h,39,1
ctrumper8i,48,5
rablewhite8j,4,6
jmichell8k,23,2
gaitcheson8l,63,2
sitzig8m,72,3
jwoollam8n,10,5
hagate8o,84,6
ldioniso8p,35,5
fwaeland8q,35,1
halden8r,36,3
estodhart8s,60,6
pjacobson8t,74,4
ecreffield8u,92,4
ttreagust8v,1,4
cwinteringham8w,78,3
mdempsey8x,40,6
ariddington8y,71,5
lhaslen8z,48,5
kmccrory90,67,3
alead91,3,3
jlamberts92,75,2
jelwill93,78,3
sflanner94,31,3
mellyatt95,11,4
lhellewell96,17,5
mmckevitt97,93,1
emadge98,94,5
cschieferstein99,20,5
sjizhaki9a,75,2
lfreiberg9b,13,6
pthomerson9c,52,4
dfass9d,13,3
fferrarotti9e,11,6
vfoister9f,92,2
lsiward9g,39,3
bdecourcey9h,85,1
fpantone9i,66,6
cnairne9j,5,1
tdrury9k,8,3
apiggen9l,17,6
lsalvadore9m,74,4
ccrosetti9n,10,4
igoodbur9o,87,2
snaughton9p,66,5
lallwell9q,35,1
gsillett9r,96,6
mpetrasek9s,82,6
mgallienne9t,68,5
tsammut9u,47,4
dpilger9v,74,4
hhallgath9w,23,5
jbraunroth9x,58,6
rbakhrushkin9y,92,6
pcurtin9z,78,3
wmuslima0,34,4
bhrishchenkoa1,94,1
cgrzesiewicza2,24,5
tmacdiarmida3,95,5
igamila4,35,6
bsollowaya5,61,1
ajervisa6,74,2
jbeadlesa7,84,1
htrowilla8,37,5
jprattingtona9,23,6
apicaa,40,1
jroddamab,35,4
maldousac,12,1
kkerblerad,40,6
pgiovannettiae,79,3
fbrannanaf,73,6
nobradaneag,81,4
ebinesteadah,46,4
pmatheai,24,6
rrayneraj,25,5
hcaustonak,30,6
ahayeral,88,1
dferrarettoam,55,6
sbrunnsteinan,55,4
fmartelao,66,5
tmacilwrickap,92,1
bsinghaq,78,3
rmccowanar,69,1
siacovaccias,50,3
cgoodayat,27,5
cpickerillau,31,1
tspeariettav,79,2
rsaladinoaw,77,6
mornilsax,44,5
phallittay,1,6
ncrosteraz,19,3
delderkinb0,2,1
